SampleID,Project,Location,SiteID,ProfileID,CoverType,Position,MinDepth,MaxDepth,MidDepth,RootMass_mg_gsoil,Horizon,Soil_PercC
RCEW-FRES-OLS-6-26,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-OLS,Live Sagebrush,NA,6,26,16,NA,B,0.9602
RCEW-FRES-OLS-26-45,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-OLS,Live Sagebrush,NA,26,45,35.5,NA,B,0.6628
RCEW-FRES-YLS-4-0,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-YLS,Live Sagebrush,NA,-4,0,-2,NA,O,2.9371
RCEW-FRES-YLS-0-7,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-YLS,Live Sagebrush,NA,0,7,3.5,NA,A,1.0546
RCEW-FRES-YLS-7-14,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-YLS,Live Sagebrush,NA,7,14,10.5,NA,A,1.0733
RCEW-FRES-YLS-14-31,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-YLS,Live Sagebrush,NA,14,31,22.5,NA,B,0.9073
EKS-A-EPSCOR-S005,EPSCoR,EKS,Ottawa KS (EPSCoR),EKS-A,Crop,NA,0,5,2.5,0.031331804,A,2.17775
EKS-A-EPSCOR-S015,EPSCoR,EKS,Ottawa KS (EPSCoR),EKS-A,Crop,NA,5,15,10,0.048714223,A,1.7082725
EKS-A-EPSCOR-S030,EPSCoR,EKS,Ottawa KS (EPSCoR),EKS-A,Crop,NA,15,30,22.5,0.063027954,A,1.29933
EKS-A-EPSCOR-S075,EPSCoR,EKS,Ottawa KS (EPSCoR),EKS-A,Crop,NA,30,75,52.5,0.016128683,A,0.78499375
EKS-A-EPSCOR-S150,EPSCoR,EKS,Ottawa KS (EPSCoR),EKS-A,Crop,NA,75,120,97.5,0.033850806,B,0.3877425
EKS-N-EPSCOR-S005,EPSCoR,EKS,Ottawa KS (EPSCoR),EKS-N,NativePrairie,NA,0,5,2.5,9.958895813,A,3.20407
EKS-N-EPSCOR-S015,EPSCoR,EKS,Ottawa KS (EPSCoR),EKS-N,NativePrairie,NA,5,15,10,2.581173103,A,1.897933333
EKS-N-EPSCOR-S030,EPSCoR,EKS,Ottawa KS (EPSCoR),EKS-N,NativePrairie,NA,15,30,22.5,4.386771613,A,1.557686667
EKS-N-EPSCOR-S075,EPSCoR,EKS,Ottawa KS (EPSCoR),EKS-N,NativePrairie,NA,30,75,52.5,2.23240265,B,0.6373145
EKS-P-EPSCOR-S005,EPSCoR,EKS,Ottawa KS (EPSCoR),EKS-P,RegenPrairie,NA,0,5,2.5,7.544970412,A,2.3882175
EKS-P-EPSCOR-S015,EPSCoR,EKS,Ottawa KS (EPSCoR),EKS-P,RegenPrairie,NA,5,15,10,2.230394711,A,1.5168825
EKS-P-EPSCOR-S030,EPSCoR,EKS,Ottawa KS (EPSCoR),EKS-P,RegenPrairie,NA,15,30,22.5,1.381048248,B,1.4062025
EKS-P-EPSCOR-S075,EPSCoR,EKS,Ottawa KS (EPSCoR),EKS-P,RegenPrairie,NA,30,75,52.5,1.898681236,B,0.6786235
HAY-A-EPSCOR-S005,EPSCoR,HAY,Hays KS (EPSCoR),HAY-A,Crop,NA,0,5,2.5,0.127445715,A,0.96205575
HAY-A-EPSCOR-S015,EPSCoR,HAY,Hays KS (EPSCoR),HAY-A,Crop,NA,5,15,10,0.127445715,A,0.8015105
HAY-A-EPSCOR-S030,EPSCoR,HAY,Hays KS (EPSCoR),HAY-A,Crop,NA,15,30,22.5,0.453188563,B,0.62429525
HAY-A-EPSCOR-S075,EPSCoR,HAY,Hays KS (EPSCoR),HAY-A,Crop,NA,30,75,52.5,0.396877365,B,0.33580425
HAY-N-EPSCOR-S005,EPSCoR,HAY,Hays KS (EPSCoR),HAY-N,NativePrairie,NA,0,5,2.5,5.5043634,A,3.2303925
HAY-N-EPSCOR-S015,EPSCoR,HAY,Hays KS (EPSCoR),HAY-N,NativePrairie,NA,5,15,10,9.803568206,A,1.57709
HAY-N-EPSCOR-S030,EPSCoR,HAY,Hays KS (EPSCoR),HAY-N,NativePrairie,NA,15,30,22.5,2.588632335,A,1.094626667
HAY-N-EPSCOR-S075,EPSCoR,HAY,Hays KS (EPSCoR),HAY-N,NativePrairie,NA,30,75,52.5,0.995617288,B,0.64278275
HAY-P-EPSCOR-S005,EPSCoR,HAY,Hays KS (EPSCoR),HAY-P,RegenPrairie,NA,0,5,2.5,1.014575206,A,2.84822
HAY-P-EPSCOR-S015,EPSCoR,HAY,Hays KS (EPSCoR),HAY-P,RegenPrairie,NA,5,15,10,1.014575206,A,1.6550275
