SampleID,SampleNumber,Project,Location,SiteID,ProfileID,NatBiome,CoverType,Position,Lithology,SoilFormation,MinDepth,MaxDepth,MidDepth,Horizon_Full,Horizon,Extractant,ppm_NH4.N,ugNH4.N_gDrySoil,ppm_NO3.N,ugNO3.N_gDrySoil,ppm_PO4.P,ugPO4.P_gDrySoil,RootMass_mg_gsoil,pH,STL_SoilP_ExtractionMethod,STL_SoilP_ppm,STL_ugP_gDrySoil,Soil_PercC,Soil_MgCg,SoilPO4.P_ug_g,MAP,DomVeg,P_Efficiency
CC2-FRES-72-96,60,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium/Residuum,72,96,84,2CBw,C,Oxalic Acid,0.1435,0.813925788,0,0,1.833819242,10.40134336,0.582645046,5.92,Mehlich-3,4,40,0.442651,4.42651,0,600,Evergreen woody spp,0.260033584
CC2-FRES-72-96,498,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium,72,96,84,2CBw,C,Apase,0.0378,0.213121236,0,0,0.0081,0.045668836,0.582645046,5.92,Mehlich-3,4,40,0.442651,4.42651,0,600,Evergreen woody spp,0.001141721
CC2-FRES-72-96,279,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium/Residuum,72,96,84,2CBw,C,Malic Acid,0,0,0,0,0.465621952,2.625236139,0.582645046,5.92,Mehlich-3,4,40,0.442651,4.42651,0,600,Evergreen woody spp,0.065630903
CC3-FRES-0-2,499,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,0,2,1,Oi/Oe,O,Apase,NA,NA,NA,NA,NA,NA,27.66833926,NA,NA,NA,NA,20.8658,208.658,44.8447,600,Evergreen woody spp,NA
CC3-FRES-0-2,61,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,0,2,1,Oi/Oe,O,Oxalic Acid,NA,NA,NA,NA,NA,NA,27.66833926,NA,NA,NA,NA,20.8658,208.658,44.8447,600,Evergreen woody spp,NA
CC3-FRES-0-2,280,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,0,2,1,Oi/Oe,O,Malic Acid,NA,NA,NA,NA,NA,NA,27.66833926,NA,NA,NA,NA,20.8658,208.658,44.8447,600,Evergreen woody spp,NA
CC3-FRES-10-21,63,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,10,21,15.5,Bt1,B,Oxalic Acid,0.2786,1.596605523,0,0,3.876579203,22.2159647,4.401126923,NA,Mehlich-3,46,460,2.9235,29.235,1.3396,600,Evergreen woody spp,0.048295575
CC3-FRES-10-21,282,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,10,21,15.5,Bt1,B,Malic Acid,0.2724,1.554879719,0,0,1.097691633,6.265706528,4.401126923,NA,Mehlich-3,46,460,2.9235,29.235,1.3396,600,Evergreen woody spp,0.013621101
CC3-FRES-10-21,501,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,10,21,15.5,Bt1,B,Apase,0.116,0.662136738,0,0,0.1087,0.620467788,4.401126923,NA,Mehlich-3,46,460,2.9235,29.235,1.3396,600,Evergreen woody spp,0.001348843
CC3-FRES-2-10,281,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,2,10,6,A,A,Malic Acid,0.8114,4.785537161,0,0,2.234927437,13.18132647,14.04939275,6.2,Mehlich-3,70,700,3.80363,38.0363,0.298,600,Evergreen woody spp,0.018830466
CC3-FRES-2-10,62,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,2,10,6,A,A,Oxalic Acid,0.6421,3.756790892,0,0,1.833819242,10.72928738,14.04939275,6.2,Mehlich-3,70,700,3.80363,38.0363,0.298,600,Evergreen woody spp,0.015327553
CC3-FRES-2-10,500,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,2,10,6,A,A,Apase,0.2767,1.625401633,NA,NA,0.330891351,1.943734523,14.04939275,6.2,Mehlich-3,70,700,3.80363,38.0363,0.298,600,Evergreen woody spp,0.002776764
CC3-FRES-21-61,502,FRES,Coal Creek ,Coal Creek (FRES),CC3,Alpine Forest,Spruce,Midslope,Sandstone,Colluvium/Residuum,21,61,41,2Bt2,B,Apase,0.0894,0.495720446,0,0,0.1353,0.750234635,18.13552044,NA,Mehlich-3,61,610,2.06325,20.6325,1.4005,600,Evergreen woody spp,0.001229893
